Context,English,Gibberish,French,Spanish,German,Korean,BrazilianPortuguese,SimplifedChinese,Russian,Italian,Portuguese,Hungarian,Japanese,Norwegian,Polish,Dutch,Romanian,Danish,Czech,Swedish,Ukrainian,Greek,Arabic,Vietnamese,Turkish
,Bookworms, unite!,,Rats de bibliothèque, unissez-vous !,,,,,,,,,,,,,,,,,,,,,,
,Pile Of Books,,Pile de bouquins,,,,,,,,,,,,,,,,,,,,,,
,For celebrating.,,Pour célébrer.,,,,,,,,,,,,,,,,,,,,,,
,Blue Balloon,,Ballon bleu,,,,,,,,,,,,,,,,,,,,,,
,Green Balloon,,Ballon vert,,,,,,,,,,,,,,,,,,,,,,
,Orange Balloon,,Ballon orange,,,,,,,,,,,,,,,,,,,,,,
,Pink Balloon,,Ballon Rose,,,,,,,,,,,,,,,,,,,,,,
,Purple Balloon,,Ballon violet,,,,,,,,,,,,,,,,,,,,,,
,Red Balloon,,Ballon rouge,,,,,,,,,,,,,,,,,,,,,,
,Three Balloons,,Trois ballons,,,,,,,,,,,,,,,,,,,,,,
,Yellow Balloon,,Ballon jaune,,,,,,,,,,,,,,,,,,,,,,
,Coloured Paper Black,,Papier de couleur Noir,,,,,,,,,,,,,,,,,,,,,,
,It's black paper.,,C'est du papier noir.,,,,,,,,,,,,,,,,,,,,,,
,Coloured Paper Blue,,Papier de couleur bleu,,,,,,,,,,,,,,,,,,,,,,
,It's blue paper.,,C'est du papier bleu.,,,,,,,,,,,,,,,,,,,,,,
,Coloured Paper Brown,,Papier de couleur marron,,,,,,,,,,,,,,,,,,,,,,
,It's brown paper.,,C'est du papier marron.,,,,,,,,,,,,,,,,,,,,,,
,Coloured Paper Green,,Papier de couleur vert,,,,,,,,,,,,,,,,,,,,,,
,It's green paper.,,C'est du papier vert.,,,,,,,,,,,,,,,,,,,,,,
,Coloured Paper Grey,,Papier de couleur gris,,,,,,,,,,,,,,,,,,,,,,
,It's Grey Coloured Paper .,,C'est du papier de couleur grise.,,,,,,,,,,,,,,,,,,,,,,
,Coloured Paper Orange,,Papier de couleur Orange,,,,,,,,,,,,,,,,,,,,,,
,It's orange paper.,,C'est du papier orange.,,,,,,,,,,,,,,,,,,,,,,
,Coloured Paper Pink,,Papier de couleur Rose,,,,,,,,,,,,,,,,,,,,,,
,It's pink paper.,,C'est du papier rose.,,,,,,,,,,,,,,,,,,,,,,
,Coloured Paper Purple,,Papier de couleur Violet,,,,,,,,,,,,,,,,,,,,,,
